# Reference QAOA results — satisfaction fractions and optimised angles
# Source: QOKit max_k_xor_sat module (C++ tensor contraction, double-double precision)
# Convention: phase gate e^{-i*(gamma/2)*Z^k}, mixer Rx(2*beta)
# gamma and beta fields use ; as separator for multiple depth values
# All configurations use clause_sign = +1 (XORSAT)
# Format: k,D,p,ctilde,source,gamma,beta
2,3,1,0.692450089730,qokit-cpp-dd,0.615479708669823,0.392699081584979
3,7,5,0.740397447655,qokit-cpp-dd,0.220547396387753;0.376602392122033;0.408278033488183;0.449019159438109;0.505941424798732,0.384459445222287;0.310721233635032;0.272456412989728;0.227284470999035;0.129293678957909
3,7,6,0.751745949972,qokit-cpp-dd,0.206591306322852;0.35687072961076;0.384051545351707;0.407882550369635;0.448250766876128;0.505785482368346,0.385451015578456;0.313697795968959;0.282953396339564;0.255565018234645;0.211286753584588;0.115844762630231
3,7,7,0.760813363619,qokit-cpp-dd,0.195684410321587;0.341720525883561;0.366781782268576;0.384451665905938;0.40530456392909;0.448101034304544;0.506133506291328,0.385443423161869;0.314513946305472;0.287235531288718;0.26894713771149;0.24247262520375;0.197819798386211;0.105240648342323
3,7,8,0.768246601315,qokit-cpp-dd,0.186966408675335;0.329555528102139;0.353545038463739;0.36822795565141;0.381800518008093;0.402930003634561;0.448786129347286;0.506965011812694,0.385013340283092;0.314072881017149;0.28858136352061;0.275139826690031;0.258332654052689;0.231310478297664;0.186099704854997;0.0965258934401261
3,7,9,0.774465051516,qokit-cpp-dd,0.179701865142845;0.319337385914203;0.343011343463057;0.35611748582835;0.365699983922547;0.378977891799018;0.401414748145291;0.450209266100215;0.508166035417478,0.384181361968519;0.313023887166306;0.288553344913376;0.277697538572088;0.266375236742283;0.249432479353514;0.221378718895174;0.17574619945495;0.0892295799641896
3,7,10,0.779752174340,qokit-cpp-dd,0.173576282090708;0.310658099002102;0.334247753505775;0.346582874648022;0.353907303656704;0.362451615342517;0.376844959503442;0.400691372936878;0.452106962741539;0.509534788202373,0.383262806933555;0.311638205314708;0.287733560924843;0.278431604551369;0.270126907245132;0.259285028067444;0.241388501116173;0.212311296955167;0.166502070508341;0.0830232095595249
3,7,11,0.784307495695,qokit-cpp-dd,0.168339681468762;0.303115966418942;0.326779464982745;0.338748126201989;0.344783639110311;0.350674708461828;0.359635663287055;0.375478893441507;0.400671253529856;0.454321745272606;0.511014318937287,0.382207703739268;0.310101928694831;0.286493111813719;0.278119983240252;0.271702216112416;0.264370381702282;0.252969088035103;0.233875273523529;0.203993225451733;0.158199638742686;0.0777037286698622
3,7,12,0.788276919274,qokit-cpp-dd,0.163811937561545;0.296536824298732;0.320308417154631;0.332151595080673;0.337388178440337;0.341677333167855;0.347573596214832;0.357363405072472;0.374919370145256;0.401229672745696;0.456778197579939;0.512695220465379,0.381194462813323;0.308470526555481;0.285043578943109;0.277228136449226;0.271958739234605;0.266824549342082;0.259298536626832;0.247007504205008;0.226735606046345;0.196179412089738;0.150634775185874;0.0730346286886473
3,7,13,0.791770605721,qokit-cpp-dd,0.159812619893761;0.290690579909324;0.314696713408371;0.326470045658835;0.331173866997972;0.334537019228711;0.338658480337911;0.344997611004272;0.35575327402801;0.375083711163643;0.402368674932745;0.459549486656931;0.514583501431485,0.380113274162636;0.306877009525993;0.283546195724883;0.275970273774807;0.271455888699418;0.267785197140943;0.262750069863639;0.254533087557538;0.24125865520951;0.219883055413092;0.188881731432285;0.143666107468303;0.0688435961945296
3,7,14,0.794873390367,qokit-cpp-dd,0.156284710025815;0.285447553977711;0.309666554368548;0.321498812370971;0.325922196391176;0.328667129809607;0.331586288691446;0.335942383101347;0.342984016055354;0.354951282219334;0.375991941125567;0.404034292160245;0.462753563949348;0.516758551200452,0.379041273047859;0.305283661167606;0.281936085054454;0.274562384269443;0.270553969991216;0.267770854270666;0.264333996249803;0.258830224410542;0.249828647385081;0.235604194865098;0.213111654078568;0.181879899033704;0.137166708316841;0.0650978798521359
